,X.Ac.Ascorbico.,Effect,DFn,DFd,F,p,p..05,ges,X.Ac.Dehidroascorbico.,Effect.1,DFn.1,DFd.1,F.1,p.1,p..05.1,ges.1
1,Ac.Ascorbico,processing,2,12,33.731,1.19E-05,*,0.489,Ac.Dehidroascorbico,processing,2,12,1.262,0.318,,0.034
2,Ac.Ascorbico,sweetener,1,12,112.821,1.86E-07,*,0.616,Ac.Dehidroascorbico,sweetener,1,12,43.188,2.64E-05,*,0.378
3,Ac.Ascorbico,tiempo,7,84,3466.337,1.46E-100,*,0.996,Ac.Dehidroascorbico,tiempo,1.61,19.36,642.879,8.45E-18,*,0.978
4,Ac.Ascorbico,processing:sweetener,2,12,122.08,1.06E-08,*,0.776,Ac.Dehidroascorbico,processing:sweetener,2,12,200.367,6.04E-10,*,0.85
5,Ac.Ascorbico,processing:tiempo,14,84,6.42,1.44E-08,*,0.47,Ac.Dehidroascorbico,processing:tiempo,3.23,19.36,1.264,0.316,,0.149
6,Ac.Ascorbico,sweetener:tiempo,7,84,17.543,3.97E-14,*,0.548,Ac.Dehidroascorbico,sweetener:tiempo,1.61,19.36,21.13,3.21E-05,*,0.594
7,Ac.Ascorbico,processing:sweetener:tiempo,14,84,31.975,9.90E-28,*,0.816,Ac.Dehidroascorbico,processing:sweetener:tiempo,3.23,19.36,30.299,1.15E-07,*,0.808
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,1.46E-100,1.06E-08,1.44E-08,9.90E-28,,,,8.45E-18,6.04E-10,0.316,1.15E-07,,
,,,,1.46E-100,1.06E-08,1.44E-08,9.90E-28,,,,,,,,,
,,,,1.46E-100,1.06E-08,1.44E-08,9.90E-28,,,,,,,,,
,,,,1.46E-100,1.06E-08,1.44E-08,9.90E-28,,,,,,,,,
