,X.Delphinidin.3.O.sambubioside.5.O.glucoside.,Effect,DFn,DFd,F,p,p..05,ges,X.Delphinidin.3.5.O.diglucoside.,Effect.1,DFn.1,DFd.1,F.1,p.1,p..05.1,ges.1,X.Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside.,Effect.2,DFn.2,DFd.2,F.2,p.2,p..05.2,ges.2,X.Delphinidin.3.O.sambubioside.,Effect.3,DFn.3,DFd.3,F.3,p.3,p..05.3,ges.3,X.Delphinidin.3.O.glucoside.,Effect.4,DFn.4,DFd.4,F.4,p.4,p..05.4,ges.4,X.Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside.,Effect.5,DFn.5,DFd.5,F.5,p.5,p..05.5,ges.5
1,Delphinidin.3.O.sambubioside.5.O.glucoside,processing,2,12,1.3,0.308,,0.032,Delphinidin.3.5.O.diglucoside,processing,2,12,517.809,2.26E-12,*,0.95,Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside,processing,2,12,59.78,5.76E-07,*,0.637,Delphinidin.3.O.sambubioside,processing,2,12,7.091,0.009,*,0.126,Delphinidin.3.O.glucoside,processing,2,12,48.549,1.77E-06,*,0.599,Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside,processing,2,12,4.633,0.032,*,0.144
2,Delphinidin.3.O.sambubioside.5.O.glucoside,sweetener,1,12,176.98,1.52E-08,*,0.691,Delphinidin.3.5.O.diglucoside,sweetener,1,12,781.368,2.72E-12,*,0.935,Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside,sweetener,1,12,586.038,1.49E-11,*,0.896,Delphinidin.3.O.sambubioside,sweetener,1,12,503.878,3.61E-11,*,0.837,Delphinidin.3.O.glucoside,sweetener,1,12,480.884,4.75E-11,*,0.881,Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside,sweetener,1,12,314.684,5.63E-10,*,0.851
3,Delphinidin.3.O.sambubioside.5.O.glucoside,tiempo,1.29,15.51,567.723,3.01E-14,*,0.976,Delphinidin.3.5.O.diglucoside,tiempo,2.98,35.82,2395.366,2.77E-41,*,0.994,Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside,tiempo,7,84,1739.206,4.77E-88,*,0.992,Delphinidin.3.O.sambubioside,tiempo,7,84,987.245,8.08E-78,*,0.986,Delphinidin.3.O.glucoside,tiempo,1.93,23.15,1161.251,8.20E-24,*,0.987,Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside,tiempo,2.41,28.96,1208.377,1.65E-29,*,0.987
4,Delphinidin.3.O.sambubioside.5.O.glucoside,processing:sweetener,2,12,598.911,9.52E-13,*,0.938,Delphinidin.3.5.O.diglucoside,processing:sweetener,2,12,945.797,6.28E-14,*,0.972,Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside,processing:sweetener,2,12,1293.15,9.70E-15,*,0.974,Delphinidin.3.O.sambubioside,processing:sweetener,2,12,855.086,1.14E-13,*,0.946,Delphinidin.3.O.glucoside,processing:sweetener,2,12,628.666,7.14E-13,*,0.951,Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside,processing:sweetener,2,12,531.747,1.93E-12,*,0.951
5,Delphinidin.3.O.sambubioside.5.O.glucoside,processing:tiempo,2.59,15.51,0.773,0.509,,0.099,Delphinidin.3.5.O.diglucoside,processing:tiempo,5.97,35.82,83.974,1.39E-19,*,0.916,Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside,processing:tiempo,14,84,5.38,3.40E-07,*,0.425,Delphinidin.3.O.sambubioside,processing:tiempo,14,84,2.44,0.006,*,0.263,Delphinidin.3.O.glucoside,processing:tiempo,3.86,23.15,5.209,0.004,*,0.414,Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside,processing:tiempo,4.83,28.96,1.411,0.251,,0.155
6,Delphinidin.3.O.sambubioside.5.O.glucoside,sweetener:tiempo,1.29,15.51,15.551,0.000648,*,0.524,Delphinidin.3.5.O.diglucoside,sweetener:tiempo,2.98,35.82,53.283,2.90E-13,*,0.776,Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside,sweetener:tiempo,7,84,39.516,5.31E-24,*,0.731,Delphinidin.3.O.sambubioside,sweetener:tiempo,7,84,11.876,1.99E-10,*,0.465,Delphinidin.3.O.glucoside,sweetener:tiempo,1.93,23.15,19.215,1.42E-05,*,0.566,Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside,sweetener:tiempo,2.41,28.96,17.215,4.39E-06,*,0.529
7,Delphinidin.3.O.sambubioside.5.O.glucoside,processing:sweetener:tiempo,2.59,15.51,59.827,1.73E-08,*,0.894,Delphinidin.3.5.O.diglucoside,processing:sweetener:tiempo,5.97,35.82,111.663,1.18E-21,*,0.935,Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside,processing:sweetener:tiempo,14,84,151.985,2.14E-53,*,0.954,Delphinidin.3.O.sambubioside,processing:sweetener:tiempo,14,84,69.784,4.16E-40,*,0.911,Delphinidin.3.O.glucoside,processing:sweetener:tiempo,3.86,23.15,69.935,1.75E-12,*,0.905,Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside,processing:sweetener:tiempo,4.83,28.96,74.476,1.67E-15,*,0.907
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.77E-88,3.40E-07,5.31E-24,2.14E-53,,,,8.08E-78,0.006,1.99E-10,4.16E-40,,,,,,8.20E-24,0.004,1.42E-05,1.75E-12,,,,1.65E-29,0.251,4.39E-06,1.67E-15,,
,,,,,,,,3.01E-14,0.509,0.000648,1.73E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.77E-41,1.39E-19,2.90E-13,1.18E-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
